Instituto Nacional para el Federalismo y el Desarrollo Municipal

Base de datos de Poblacion 2020

cve_inegi,id_estado,id_municipio,superficie,municipios,localidades,cabecera,longitud,latitud,altitud,pob_cabecera,pob_cabecera_h,pob_cabecera_m,total,hombres,mujeres,p3ymas,p3ymas_h,p3ymas_m,p5ymas,p5ymas_h,p5ymas_m,p0_2,p0_2_h,p0_2_m,p3_5,p3_5_h,p3_5_m,p6_14,p6_14_h,p6_14_m,p8_14,p8_14_h,p8_14_m,p15_17,p15_17_h,p15_17_m,p18_24,p18_24_h,p18_24_m,p25_29,p25_29_h,p25_29_m,p25_59,p25_59_h,p25_59_m,p60ymas,p60ymas_h,p60ymas_m,p12ymas,p12ymas_h,p12ymas_m,p15ymas,p15ymas_h,p15ymas_m,p18ymas,p18ymas_h,p18ymas_m,p30ymas,p30ymas_h,p30ymas_m,loc1_249,loc250_499,loc500_999,loc1K_2499,loc2K5_4999,loc5K_9999,loc10K_14999,loc15K_29999,loc30K_49999,loc50K_99999,loc100K_249999,loc250K_499999,loc500K_999999,locmayor1M,tipo_municipio,p3ymas_li,p3ymas_li_h,p3ymas_li_m,p3ymas_li_esp,p3ymas_li_esp_h,p3ymas_li_esp_m,p3ymas_li_noesp,p3ymas_li_noesp_h,p3ymas_li_noesp_m,p3ymas_li_esp_noespecif,p3ymas_li_esp_noespecif_h,p3ymas_li_esp_noespecif_m,p3ymas_no_li,p3ymas_no_li_h,p3ymas_no_li_m,p3ymas_li_noespecif,p3ymas_li_noespecif_h,p3ymas_li_noespecif_m,id_lengua1,id_lengua2,hab_lengua1,hab_lengua2,p_catolica,p_nocatolica,p_otrareligion,p_sinreligion
"04008","4","8","0.00","0","0","","","","0","0","0","0","11452","5797","5655","10912","5527","5385","10506","5324","5182","540","270","270","616","299","317","0","0","0","1554","812","742","554","274","280","1266","662","604","881","448","433","0","0","0","1273","686","587","8997","4574","4423","8332","4211","4121","7778","3937","3841","0","0","0","594","1026","0","1084","0","8748","0","0","0","0","0","0","0","0","","1974","1084","890","1942","1066","876","20","12","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04009","4","9","0.00","0","0","","","","0","0","0","0","59923","29468","30455","56718","27819","28899","54229","26524","27705","3182","1638","1544","3802","1963","1839","0","0","0","8468","4240","4228","3225","1612","1613","6999","3397","3602","4793","2228","2565","0","0","0","5915","3091","2824","45321","21989","23332","41839","20235","21604","38614","18623","19991","0","0","0","2734","4817","8072","8962","3963","0","0","0","31375","0","0","0","0","0","","3139","1663","1476","2957","1584","1373","150","58","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04010","4","10","0.00","0","0","","","","0","0","0","0","31714","16101","15613","29332","14888","14444","27663","14004","13659","2371","1208","1163","2486","1300","1186","0","0","0","4998","2541","2457","1894","945","949","3757","1848","1909","2462","1166","1296","0","0","0","2560","1452","1108","22485","11305","11180","20425","10281","10144","18531","9336","9195","0","0","0","4902","12840","5713","2530","0","5729","0","0","0","0","0","0","0","0","","7528","3750","3778","7192","3661","3531","301","73","228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04011","4","11","0.00","0","0","","","","0","0","0","0","46913","23674","23239","43879","22113","21766","41812","21099","20713","2952","1520","1432","3129","1552","1577","0","0","0","6914","3454","3460","2580","1331","1249","5191","2548","2643","3437","1680","1757","0","0","0","4804","2639","2165","34640","17537","17103","31792","16134","15658","29212","14803","14409","0","0","0","12114","13608","6431","3639","0","0","11121","0","0","0","0","0","0","0","","2770","1425","1345","2662","1387","1275","101","35","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04012","4","12","0.00","0","0","","","","0","0","0","0","15297","7637","7660","14600","7282","7318","14092","7024","7068","696","355","341","764","392","372","0","0","0","1778","918","860","696","356","340","1822","883","939","1160","549","611","0","0","0","1977","1013","964","12289","6098","6191","11543","5711","5832","10847","5355","5492","0","0","0","107","0","0","1063","4612","9515","0","0","0","0","0","0","0","0","","426","244","182","406","232","174","16","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32060","4","13","0.00","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","0","0","0","","","","","","","0","0","0","","","","","","","0","0","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",""
"05001","5","1","0.00","0","0","","","","0","0","0","0","1022","535","487","983","512","471","947","494","453","39","23","16","53","28","25","0","0","0","88","43","45","34","17","17","110","57","53","50","24","26","0","0","0","230","123","107","852","435","417","814","420","394","780","403","377","0","0","0","287","0","735","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05002","5","2","0.00","0","0","","","","0","0","0","0","163058","81943","81115","153938","77382","76556","147375","74097","73278","8897","4450","4447","9821","4960","4861","0","0","0","20671","10528","10143","8887","4508","4379","20996","10533","10463","13498","6770","6728","0","0","0","11800","5725","6075","125920","63235","62685","117214","58796","58418","108327","54288","54039","0","0","0","1167","1107","559","0","0","0","0","0","0","0","160225","0","0","0","","434","255","179","432","253","179","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05003","5","3","0.00","0","0","","","","0","0","0","0","23056","11446","11610","21783","10801","10982","20877","10349","10528","1273","645","628","1343","672","671","0","0","0","2905","1480","1425","1093","540","553","2699","1332","1367","1740","876","864","0","0","0","2770","1329","1441","17925","8832","9093","16746","8229","8517","15653","7689","7964","0","0","0","228","262","0","1190","0","0","0","21376","0","0","0","0","0","0","","12","5","7","12","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05004","5","4","0.00","0","0","","","","0","0","0","0","29578","14955","14623","27935","14135","13800","26691","13530","13161","1633","818","815","1848","881","967","0","0","0","3472","1792","1680","1399","744","655","3067","1491","1576","2513","1248","1265","0","0","0","3332","1723","1609","22910","11626","11284","21494","10874","10620","20095","10130","9965","0","0","0","5229","3606","0","2633","2576","0","0","15534","0","0","0","0","0","0","","45","26","19","38","23","15","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
